ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,number_of_tastes
1522,Chocovivo,U.S.A,2015,Mexico,Tabasco,75.0,2.5,2,1,0,0,0,0,1,0,gritty,3
377,Choklat,Canada,2009,Brazil,Brazilian,70.0,3.0,4,1,1,1,0,0,1,0,oily,3
377,Choklat,Canada,2009,Brazil,Brazilian,80.0,3.0,4,1,1,1,0,0,1,0,roasty,3
377,Choklat,Canada,2009,Venezuela,Ocumare,70.0,3.0,4,1,1,1,0,0,1,0,slow,4
377,Choklat,Canada,2009,Mexico,"Porcelana, Tabasco",70.0,2.75,4,1,1,1,0,0,1,0,fatty,3
377,Choklat,Canada,2009,Venezuela,Ocumare,80.0,2.5,4,1,1,1,0,0,1,0,dry,3
1149,Chokolat Elot (Girard),Martinique,2013,Martinique,Guadeloupe,42.0,2.75,4,1,0,1,1,0,1,0,gritty,3
1832,Choocsol,Canada,2016,Mexico,"Chiapas, Lacandon Jungle, Oaxacom Mtn",75.0,3.25,3,1,1,0,0,0,1,0,grainy,3
2250,Christophe Toury,Peru,2018,Peru,"Ucayali, batch 1",70.0,2.75,2,1,0,0,0,0,1,0,sweet,3
2226,Christopher Elbow,U.S.A,2018,Peru,Ucayali,75.0,3.75,3,1,1,0,0,0,1,0,bold,3
2310,Christopher Elbow,U.S.A,2019,Brazil,"Fazenda Camboa, 2017 harvest",70.0,4.0,3,1,1,0,0,0,1,0,creamy,3
2306,Christopher Elbow,U.S.A,2019,Dominican republic,Oko Caribe,72.0,3.75,3,1,1,0,0,0,1,0,smooth,3
2310,Christopher Elbow,U.S.A,2019,Ecuador,"Camino Verde, 2017 harvest",73.0,3.5,3,1,1,0,0,0,1,0,rich cocoa,3
2310,Christopher Elbow,U.S.A,2019,Tanzania,"Kokoa Kamili, 2017 harvest",72.0,3.5,3,1,1,0,0,0,1,0,basic cocoa,3
2310,Christopher Elbow,U.S.A,2019,Costa rica,"Hacienda Azul, 2017 harvest",70.0,3.25,3,1,1,0,0,0,1,0,cocoa,3
2314,Christopher Elbow,U.S.A,2019,Vietnam,"Vietnam, Marou 2017 harvest",72.0,3.0,3,1,1,0,0,0,1,0,roasty,3
445,Chuao Chocolatier,U.S.A,2009,Venezuela,Choroni,61.0,3.0,5,1,1,1,1,0,1,0,sweet,2
486,Chuao Chocolatier (Pralus),U.S.A,2010,Venezuela,Chuao,77.0,2.75,3,1,1,0,0,0,1,0,red berry,4
227,Claudio Corallo,Sao tome,2008,Blend,"Terreiro Velho P., Sao Tome & Principe",75.0,3.75,3,1,1,0,0,0,1,0,dry,4
209,Claudio Corallo,Sao tome,2008,Blend,Terreiro Velho P. w/ sugar crystals,80.0,3.0,3,1,1,0,0,0,1,0,bitter,3
470,Claudio Corallo,Sao tome,2010,Blend,"Terreiro Velho P., Sao Tome & Principe",73.5,3.75,2,1,0,0,0,0,1,0,short,3
1486,Cloudforest,U.S.A,2015,Ecuador,"Camino Verde P., Balao, Guayas, 2014, batch 1",73.0,3.5,2,1,0,0,0,0,1,0,creamy,3
2474,Coco,Canada,2020,Peru,Ucayali,70.0,3.5,3,1,1,0,0,0,1,0,balanced,3
2402,Cocoa Carib,St. lucia,2019,St. lucia,St. Lucia,70.0,2.25,4,1,1,1,0,0,1,0,raw,4
1646,Coleman & Davis,U.S.A,2015,Madagascar,Sambirano,75.0,3.0,4,1,1,1,0,0,1,0,berry,3
1630,Condor,U.S.A,2015,Ecuador,Camino Verde,76.0,3.5,2,1,0,0,0,0,1,0,bold,4
1916,Confluence,U.S.A,2016,Vietnam,"Tien Giang, 2015, batch 10-2-16",78.0,2.75,2,1,0,0,0,0,1,0,woody,3
196,Coppeneur,Germany,2007,Madagascar,"Sambirano, Menava P.",72.0,3.0,3,1,1,0,0,0,1,0,creamy,3
220,Coppeneur,Germany,2008,Mexico,"Porcelana, Tabasco, Mexico",72.0,3.0,3,1,1,0,0,0,1,0,intense,4
220,Coppeneur,Germany,2008,Venezuela,"Porcelana, Venezuela",72.0,3.0,3,1,1,0,0,0,1,0,lemon,3
451,Coppeneur,Germany,2009,Venezuela,Chuao 70hr,70.0,3.75,3,1,1,0,0,0,1,0,dark berry,2
451,Coppeneur,Germany,2009,Venezuela,Chuao 100hr,70.0,3.5,3,1,1,0,0,0,1,0,slow,3
445,Coppeneur,Germany,2009,Peru,"Porcelana, Apotequil",62.0,3.25,3,1,1,0,0,0,1,0,woodsy,2
341,Coppeneur,Germany,2009,Peru,"Porcelana, Apotequil",72.0,3.0,3,1,1,0,0,0,1,0,creamy,3
470,Coppeneur,Germany,2010,Grenada,Grenada,72.0,3.25,3,1,1,0,0,0,1,0,coffee and cocoa,1
558,Coppeneur,Germany,2010,Jamaica,Jamaica,72.0,3.25,3,1,1,0,0,0,1,0,oily,3
558,Coppeneur,Germany,2010,Venezuela,Ocumare 61,72.0,3.25,3,1,1,0,0,0,1,0,oily,2
478,Coppeneur,Germany,2010,Venezuela,Chuao,70.0,3.0,3,1,1,0,0,0,1,0,fruity,2
558,Coppeneur,Germany,2010,Trinidad,Trinidad,72.0,3.0,3,1,1,0,0,0,1,0,dry,3
558,Coppeneur,Germany,2010,Ecuador,"Los Rios, H. Iara",72.0,2.5,3,1,1,0,0,0,1,0,harsh aroma,3
821,Coppeneur,Germany,2012,Blend,"Uba Budo, Sao Tome & Principe",72.0,3.75,3,1,1,0,0,0,1,0,creamy,3
813,Coppeneur,Germany,2012,Ghana,Ghana Puristique,85.0,3.5,3,1,1,0,0,0,1,0,silky,2
959,Coppeneur,Germany,2012,Madagascar,Madagascar,70.0,3.5,3,1,1,0,0,0,1,0,sandy,3
1169,Coppeneur,Germany,2013,Ecuador,"Ecuador, Puristique",65.0,3.25,4,1,1,0,1,0,1,0,oily,3
1984,Coppeneur,Germany,2017,Ghana,Ghana,75.0,3.75,3,1,1,0,0,0,1,0,oily,3
975,Cravve,Australia,2012,Papua new guinea,"Djual Island, batch 1712",75.0,3.5,3,1,1,0,0,0,1,0,sandy,3
971,Cravve,Australia,2012,Tanzania,"Tanzania, batch a1",75.0,3.25,3,1,1,0,0,0,1,0,spice,3
975,Cravve,Australia,2012,Brazil,"Bahia, batch a1213",65.0,3.25,3,1,1,0,0,0,1,0,sandy,3
975,Cravve,Australia,2012,Fiji,"Namau Village, N. Taileva P., batch a2812",67.0,3.25,3,1,1,0,0,0,1,0,acidic,3
975,Cravve,Australia,2012,Vanuatu,"Vanuatu, batch 2410",64.0,3.25,3,1,1,0,0,0,1,0,sandy,4
1335,Cravve,Australia,2014,Vanuatu,"Vanuatu, batch 2410",83.0,2.75,3,1,1,0,0,0,1,0,banana nut,1
1283,Cravve,Australia,2014,Papua new guinea,"New Ireland, batch 1702",70.0,2.5,3,1,1,0,0,0,1,0,true to sugar,2
1736,Creo,U.S.A,2016,Ecuador,"""heirloom"", Arriba Nacional",73.0,3.75,3,1,1,0,0,0,1,0,creamy,3
1736,Creo,U.S.A,2016,Ecuador,"""heirloom"", Arriba Nacional",85.0,3.25,3,1,1,0,0,0,1,0,oily,4
2466,Crow and Moss,U.S.A,2020,Honduras,"Wampusirpi, batch 41",70.0,3.5,2,1,0,0,0,0,1,0,banana,3
2466,Crow and Moss,U.S.A,2020,Dominican republic,"Zorzal, batch 40",70.0,3.25,2,1,0,0,0,0,1,0,deep cherry,3
2466,Crow and Moss,U.S.A,2020,Colombia,"Aruaca, batch 39",70.0,3.25,2,1,0,0,0,0,1,0,nutty,2
785,Daintree,Australia,2011,Australia,"Daintree Estates, N. Queensland",70.0,3.25,5,1,1,1,1,0,1,0,vanilla,3
1654,Daintree,Australia,2015,Australia,Goodman Estate,70.0,2.75,3,1,1,0,0,0,1,0,sandy,3
1928,Dalloway,U.S.A,2017,Dominican republic,"Dominican Republic, batch 7",72.0,2.75,2,1,0,0,0,0,1,0,hammy,3
1610,Damson,U.k.,2015,Ecuador,Los Rios,70.0,3.5,3,1,1,0,0,0,1,0,floral,2
1610,Damson,U.k.,2015,Trinidad,Robson Estate,70.0,3.0,3,1,1,0,0,0,1,0,floral,4
1666,Damson,U.k.,2015,Nicaragua,O'Payo,70.0,2.75,3,1,1,0,0,0,1,0,oily,3
1666,Damson,U.k.,2015,Grenada,Crayfish Bay aka Non Pariel Estate,70.0,2.25,3,1,1,0,0,0,1,0,off,3
2064,Damson,U.k.,2018,Blend,"Angel Bar, Nicaragua, Madagascar",65.0,2.5,4,1,1,0,1,0,1,0,sweet,2
915,Dandelion,U.S.A,2012,Dominican republic,"Elvesia, 2011",70.0,3.75,2,1,0,0,0,0,1,0,spicy,2
805,Dandelion,U.S.A,2012,Colombia,Colombian,70.0,3.25,2,1,0,0,0,0,1,0,grassy,3
805,Dandelion,U.S.A,2012,Costa rica,Upala,70.0,3.0,2,1,0,0,0,0,1,0,dried fruit,2
1085,Dandelion,U.S.A,2013,Venezuela,"Mantuano, 2012, batch 1",70.0,3.5,2,1,0,0,0,0,1,0,roasty,3
1153,Dandelion,U.S.A,2013,Papua new guinea,"Papua New Guinea, batch 1",70.0,3.5,2,1,0,0,0,0,1,0,mild smoke,3
1026,Dandelion,U.S.A,2013,Venezuela,"Patanemo, batch 3",70.0,3.25,2,1,0,0,0,0,1,0,licorice,3
1026,Dandelion,U.S.A,2013,Venezuela,"Cumboto, farmer Jose Lugo, batch 1",70.0,2.75,2,1,0,0,0,0,1,0,acidic,3
1387,Dandelion,U.S.A,2014,Dominican republic,"San Francisco de Macoris, Cibao region",70.0,3.75,2,1,0,0,0,0,1,0,cherry,2
1219,Dandelion,U.S.A,2014,Belize,Maya Mountain,70.0,3.5,2,1,0,0,0,0,1,0,heavy roast,2
1295,Dandelion,U.S.A,2014,Ecuador,"Camino Verde P., Balao, Guayas, 2013",70.0,3.5,2,1,0,0,0,0,1,0,gummy,3
1303,Dandelion,U.S.A,2014,Liberia,Buto,70.0,2.75,2,1,0,0,0,0,1,0,roasty,3
1446,Dandelion,U.S.A,2015,Belize,"Maya Mtn., Break Bar- Snark",70.0,3.0,2,1,0,0,0,0,1,0,intense,4
1816,Dandelion,U.S.A,2016,Dominican republic,"Zorzal Reserva, 2015 H., Kerchner",70.0,3.75,2,1,0,0,0,0,1,0,cherry,2
2024,Dandelion,U.S.A,2017,Costa rica,"Hacienda Azul, 2016 Harvest",70.0,3.0,2,1,0,0,0,0,1,0,cocoa,4
2178,Dandelion,U.S.A,2018,India,"Anamalai, 2017 harvest",70.0,3.5,2,1,0,0,0,0,1,0,ripe orange,2
2178,Dandelion,U.S.A,2018,Honduras,"WAPU, La Mosquitia, 2017 harvest",70.0,3.25,2,1,0,0,0,0,1,0,nutty,2
2178,Dandelion,U.S.A,2018,Sierra leone,"Gola Rainforest, 2017 harvest",70.0,3.0,2,1,0,0,0,0,1,0,vegetal,2
2386,Dandelion,U.S.A,2019,Vietnam,"Ben Tre, 2018 Harvest",70.0,3.5,2,1,0,0,0,0,1,0,green apple,2
654,Dandelion (aka Brower Ave),U.S.A,2011,Dominican republic,Dominican Republic,70.0,3.25,2,1,0,0,0,0,1,0,grassy,3
654,Dandelion (aka Brower Ave),U.S.A,2011,Madagascar,Madagascar,70.0,3.25,2,1,0,0,0,0,1,0,brownie,2
654,Dandelion (aka Brower Ave),U.S.A,2011,Tanzania,Tanzania,70.0,3.25,2,1,0,0,0,0,1,0,cocoa flavor dominates,1
423,Danta,Guatemala,2009,Guatemala,Las Acacias E.,60.0,3.25,4,1,1,1,0,0,1,0,wood,3
423,Danta,Guatemala,2009,Guatemala,Las Acacias E.,75.0,3.0,4,1,1,1,0,0,1,0,dark woody,3
661,Danta,Guatemala,2011,Guatemala,Los Ujuxtes,60.0,3.5,4,1,1,1,0,0,1,0,oily,3
987,Danta,Guatemala,2012,Guatemala,Las Acacias E.,70.0,4.0,2,1,0,0,0,0,1,0,sweet spice,2
987,Danta,Guatemala,2012,Guatemala,Los Ujuxtes,70.0,3.75,2,1,0,0,0,0,1,0,spicy,1
987,Danta,Guatemala,2012,Madagascar,Sambirano,70.0,3.75,2,1,0,0,0,0,1,0,oily,3
991,Danta,Guatemala,2012,Guatemala,"Oscuro, Finca Chimelb",70.0,3.25,2,1,0,0,0,0,1,0,nutty,3
987,Danta,Guatemala,2012,Venezuela,Chuao,75.0,3.0,4,1,1,1,0,0,1,0,gummy,3
1223,Danta,Guatemala,2014,Guatemala,Los Ujuxtes,82.0,3.25,4,1,1,1,0,0,1,0,fatty,3
1920,DAR,U.S.A,2016,Blend,"DUO, batch 002, Ecuador, Costa Rica",70.0,3.25,2,1,0,0,0,0,1,0,floral,3
1920,DAR,U.S.A,2016,Vietnam,Vietnam,72.0,3.0,2,1,0,0,0,0,1,0,raisins,2
1920,DAR,U.S.A,2016,Venezuela,"Venezuela, batch 122",72.0,2.75,2,1,0,0,0,0,1,0,nut,4
2342,Darcis,Belgium,2019,Vietnam,Mekong Delta,70.0,3.25,4,1,1,0,1,0,1,0,muted,3
2342,Darcis,Belgium,2019,Peru,Piura,72.0,3.0,4,1,1,0,1,0,1,0,muted,4
1550,Dark Forest,U.S.A,2015,Venezuela,Ocumare,70.0,3.25,3,1,1,0,0,0,1,0,roasty,3
1554,Dark Forest,U.S.A,2015,Ecuador,Ecuador,70.0,3.25,3,1,1,0,0,0,1,0,bold,3
1550,Dark Forest,U.S.A,2015,Madagascar,Madagascar,70.0,3.0,3,1,1,0,0,0,1,0,sweet,3
1554,Dark Forest,U.S.A,2015,Tanzania,Tanzania,70.0,3.0,3,1,1,0,0,0,1,0,intense,3
1708,Dark Forest,U.S.A,2016,Bolivia,Bolivia,75.0,3.25,3,1,1,0,0,0,1,0,mild cherry,2
907,Davis,U.S.A,2012,Blend,West Africa,58.0,3.25,4,1,1,0,1,0,1,0,nice melt,2
1093,Davis,U.S.A,2013,Dominican republic,Rainforest,70.0,2.75,4,1,1,0,1,0,1,0,chalky,3
1093,Davis,U.S.A,2013,Venezuela,Venezuela,70.0,2.75,4,1,1,0,1,0,1,0,fatty,4
1093,Davis,U.S.A,2013,Ghana,Ghana,70.0,2.5,4,1,1,0,1,0,1,0,vanilla,3
1462,De Mendes,Brazil,2015,Brazil,"Nativo, Varzea",72.0,3.5,3,1,1,0,0,0,1,0,texture issues,2
1462,De Mendes,Brazil,2015,Brazil,"Selvagem, Jari",65.0,3.5,3,1,1,0,0,0,1,0,one dimensional,2
1832,De Villiers,South africa,2016,Madagascar,"Sambirano Valley, batch 2477",70.0,3.0,3,1,1,0,0,0,1,0,high roast,2
1832,De Villiers,South africa,2016,Uganda,Bundibugyo District,70.0,2.5,3,1,1,0,0,0,1,0,high roast,3
175,Dean and Deluca (Belcolade),U.S.A,2007,Costa rica,Costa Rica,64.0,3.0,4,1,1,1,0,0,1,0,dark coffee,2
175,Dean and Deluca (Belcolade),U.S.A,2007,Ecuador,Ecuador,71.0,3.0,4,1,1,1,0,0,1,0,cinamon,3
175,Dean and Deluca (Belcolade),U.S.A,2007,Ghana,Ghana,60.0,3.0,4,1,1,1,0,0,1,0,nutty,3
180,Dean and Deluca (Belcolade),U.S.A,2007,Papua new guinea,Papua New Guinea,64.0,3.0,4,1,1,1,0,0,1,0,waxy,3
180,Dean and Deluca (Belcolade),U.S.A,2007,Peru,Peru,64.0,3.0,4,1,1,1,0,0,1,0,mild mint,2
170,Dean and Deluca (Belcolade),U.S.A,2007,Madagascar,Madagascar,66.0,2.5,4,1,1,1,0,0,1,0,sandy,3
263,Debauve & Gallais (Michel Cluizel),France,2008,Venezuela,Venezuela,66.0,3.75,4,1,1,1,0,0,1,0,fatty,3
423,Debauve & Gallais (Michel Cluizel),France,2009,Papua new guinea,Papua New Guinea,64.0,3.0,4,1,1,1,0,0,1,0,smokey,4
2222,Definite,Dominican republic,2018,Dominican republic,Duarte Province,80.0,3.0,2,1,0,0,0,0,1,0,mild bitter,3
2222,Definite,Dominican republic,2018,Dominican republic,Duarte Province,70.0,2.6,2,1,0,0,0,0,1,0,dirty,3
2222,Definite,Dominican republic,2018,Dominican republic,Elvesia,70.0,2.5,2,1,0,0,0,0,1,0,metallic,2
1916,Desbarres,Canada,2016,Tanzania,"Kilombero, batch 41",72.0,2.5,2,1,0,0,0,0,1,0,vanilla,3
2422,Desbarres,Canada,2019,Guatemala,"Monte Grande, batch 178",72.0,3.0,2,1,0,0,0,0,1,0,smokey,4
166,DeVries,U.S.A,2007,Costa rica,Costa Rica,77.0,3.5,2,1,0,0,0,0,1,0,red berry,2
166,DeVries,U.S.A,2007,Dominican republic,Dominican Republic,77.0,3.5,2,1,0,0,0,0,1,0,sticky,3
241,DeVries,U.S.A,2008,Bolivia,Bolivian,80.0,2.75,2,1,0,0,0,0,1,0,intense fruit,2
769,Dick Taylor,U.S.A,2011,Ecuador,Ecuador,70.0,3.25,2,1,0,0,0,0,1,0,grassy,3
769,Dick Taylor,U.S.A,2011,Dominican republic,La Red,74.0,3.0,2,1,0,0,0,0,1,0,earthy,3
661,Dick Taylor,U.S.A,2011,Madagascar,Sambirano,80.0,2.75,2,1,0,0,0,0,1,0,sandy,3
682,Dick Taylor,U.S.A,2011,Venezuela,Mantuano,75.0,2.75,2,1,0,0,0,0,1,0,sticky,3
895,Dick Taylor,U.S.A,2012,Bolivia,Bolivia,75.0,2.75,2,1,0,0,0,0,1,0,dry,3
1193,Dick Taylor,U.S.A,2013,Ecuador,Camino Verde,76.0,3.5,2,1,0,0,0,0,1,0,butter,3
1034,Dick Taylor,U.S.A,2013,Ecuador,"Ecuador, Choc. Garage Exclusive",70.0,3.25,2,1,0,0,0,0,1,0,oily,3
1235,Dick Taylor,U.S.A,2014,Dominican republic,Elvesia,74.0,3.5,2,1,0,0,0,0,1,0,mild fruit and spice,2
1634,Dick Taylor,U.S.A,2015,Bolivia,"Alto Beni, Wild Harvest, Limited Ed.",70.0,3.75,2,1,0,0,0,0,1,0,sticky,3
1864,Dick Taylor,U.S.A,2016,Vietnam,Tien Giang,78.0,3.5,2,1,0,0,0,0,1,0,tropical berry,2
2016,Dick Taylor,U.S.A,2017,Solomon islands,"Solomon Is.,batch 17158, N.Vela",72.0,4.0,2,1,0,0,0,0,1,0,well defined,3
1952,Dick Taylor,U.S.A,2017,Guatemala,Lanquin Estate,70.0,3.75,2,1,0,0,0,0,1,0,blackberry,2
1972,Dick Taylor,U.S.A,2017,Brazil,"Fazenda Camboa, Bahia, batch 17009",75.0,3.75,2,1,0,0,0,0,1,0,sticky,3
2258,Dick Taylor,U.S.A,2018,Fiji,"Vanua Levu, Matasawalevu",80.0,3.75,2,1,0,0,0,0,1,0,cocoa,3
2270,Dick Taylor,U.S.A,2019,Belize,"Maya Mtn, Toledo",72.0,4.0,2,1,0,0,0,0,1,0,creamy,3
2434,Dick Taylor,U.S.A,2019,Madagascar,"Akesson P., Sambirano",72.0,3.75,2,1,0,0,0,0,1,0,sticky,4
2466,Dick Taylor,U.S.A,2020,Blend,"Northerner, Madagascar and Brazil",73.0,3.5,2,1,0,0,0,0,1,0,burnt honey,2
2402,Diogo Vaz,Sao tome & principe,2019,Sao tome,"Sao Tome, batch OST-18-01",65.0,3.0,4,1,1,0,1,0,1,0,complex,4
2406,Diogo Vaz,Sao tome & principe,2019,Sao tome,"Sao Tome, batch TRI-18-002, trinitario",75.0,3.0,4,1,1,0,1,0,1,0,bland,3
2402,Diogo Vaz,Sao tome & principe,2019,Sao tome,"Sao Tome, unroasted, batch UNR-18-003",70.0,2.75,4,1,1,0,1,0,1,0,cocoa,4
2406,Diogo Vaz,Sao tome & principe,2019,Sao tome,"Sao Tome, Grand Cru Plantation, amelonado",75.0,2.5,4,1,1,0,1,0,1,0,late cocoa,3
1407,Doble & Bignall,U.k.,2014,Nicaragua,Johe,72.0,3.5,3,1,1,0,0,0,1,0,nutty,3
1371,Doble & Bignall,U.k.,2014,Panama,"Panama, Raven",72.0,3.25,3,1,1,0,0,0,1,0,mild cherry,2
1371,Doble & Bignall,U.k.,2014,Venezuela,"Puerto Cabello, Mantuano",72.0,3.25,3,1,1,0,0,0,1,0,fatty,3
1688,Doble & Bignall,U.k.,2015,Venezuela,Puerto Cabello,85.0,3.0,3,1,1,0,0,0,1,0,intense,3
63,Dolfin (Belcolade),Belgium,2006,Blend,Noir,70.0,1.5,3,1,0,0,1,0,1,0,acidic,3
304,Dolfin (Belcolade),Belgium,2008,Blend,"Africa, West Africa",88.0,3.0,3,1,0,0,1,0,1,0,sticky,2
87,Domori,Italy,2006,Venezuela,Carenero Superior,70.0,3.5,2,1,0,0,0,0,1,0,creamy,2
87,Domori,Italy,2006,Peru,Apurimac,70.0,3.25,2,1,0,0,0,0,1,0,floral,2
87,Domori,Italy,2006,Venezuela,Sur del Lago Classificado,70.0,3.0,2,1,0,0,0,0,1,0,long lasting,2
111,Domori,Italy,2007,Venezuela,Porcelana,70.0,4.0,2,1,0,0,0,0,1,0,creamy,3
192,Domori,Italy,2007,Ecuador,Ecuador,70.0,4.0,2,1,0,0,0,0,1,0,creamy,4
192,Domori,Italy,2007,Venezuela,"Ocumare 67, Puertofino",70.0,4.0,2,1,0,0,0,0,1,0,creamy,4
192,Domori,Italy,2007,Indonesia,"Java, Javablond",70.0,3.75,2,1,0,0,0,0,1,0,creamy,3
135,Domori,Italy,2007,Madagascar,Madagascar,70.0,3.5,2,1,0,0,0,0,1,0,fruity,2
192,Domori,Italy,2007,Madagascar,Madagared,70.0,3.5,2,1,0,0,0,0,1,0,smooth,3
129,Domori,Italy,2007,Venezuela,"Ocumare 61, Puertomar",75.0,3.25,2,1,0,0,0,0,1,0,sticky,4
135,Domori,Italy,2007,Venezuela,Granella,60.0,3.25,2,1,0,0,0,0,1,0,mild spice,2
272,Domori,Italy,2008,Blend,Ilblend,70.0,3.75,2,1,0,0,0,0,1,0,sticky,2
272,Domori,Italy,2008,Blend,Blend No. 1,78.0,3.5,2,1,0,0,0,0,1,0,sticky,3
227,Domori,Italy,2008,Venezuela,"Carupano, H. San Jose",70.0,3.0,2,1,0,0,0,0,1,0,cucumber,2
272,Domori,Italy,2008,Colombia,Teyuna,70.0,3.0,2,1,0,0,0,0,1,0,creamy,3
470,Domori,Italy,2010,Venezuela,"Chuao, Hacienda San Jose",70.0,3.0,2,1,0,0,0,0,1,0,subtle,3
693,Domori,Italy,2011,Venezuela,"Canoabo, Hacienda San Jose",70.0,3.5,2,1,0,0,0,0,1,0,smooth,4
863,Domori,Italy,2012,Venezuela,Guasare,70.0,3.75,2,1,0,0,0,0,1,0,creamy,3
863,Domori,Italy,2012,Tanzania,Morogoro,70.0,3.5,2,1,0,0,0,0,1,0,sticky,2
1672,Domori,Italy,2015,Ecuador,Hacienda Victoria,70.0,3.75,2,1,0,0,0,0,1,0,floral,3
1672,Domori,Italy,2015,Venezuela,Ocumare 77,70.0,3.75,2,1,0,0,0,0,1,0,nutty,3
2040,Domori,Italy,2018,Tanzania,Tanzania,70.0,4.0,2,1,0,0,0,0,1,0,creamy,3
1676,Dormouse,U.k.,2015,Colombia,"Colombia, Batch 9",80.0,2.75,3,1,1,0,0,0,1,0,bitter,3
1676,Dormouse,U.k.,2015,Madagascar,"Madagascar, Batch 8",77.0,2.75,3,1,1,0,0,0,1,0,fruity,2
1672,Dormouse,U.k.,2015,Venezuela,"Rio Caribe, Batch 7",70.0,2.5,3,1,1,0,0,0,1,0,burnt rubber,2
1880,Dormouse,U.k.,2016,Grenada,Non Pariel Estate,75.0,2.75,3,1,1,0,0,0,0,1,licorice,3
2052,Dormouse,U.k.,2018,Guatemala,"Verapaz, batch 254",72.0,3.5,3,1,1,0,0,0,0,1,near perfect shine,2
2096,Dormouse,U.k.,2018,Peru,"Piura, batch 274",80.0,3.5,2,1,0,0,0,0,0,1,molasses,2
2052,Dormouse,U.k.,2018,Philippines,"Kablon Farm, batch 242",71.5,2.75,3,1,1,0,0,0,0,1,molasses notes from sugar,1
2390,Double Spiral,U.S.A,2019,Dominican republic,Hispaniola,75.0,3.0,2,1,0,0,0,0,1,0,dry,4
2390,Double Spiral,U.S.A,2019,Tanzania,Kokoa Kamili,70.0,2.75,2,1,0,0,0,0,1,0,dry,4
2390,Double Spiral,U.S.A,2019,Dominican republic,Oko Caribe,75.0,2.5,2,1,0,0,0,0,1,0,dry,3
516,Duffy's,U.k.,2010,Ecuador,"Corazon del Ecuador, Calceta beans",72.0,3.75,3,1,1,0,0,0,1,0,rich cocoa,3
523,Duffy's,U.k.,2010,Peru,Star of Peru,70.0,3.75,3,1,1,0,0,0,1,0,dark forest berry,2
516,Duffy's,U.k.,2010,Panama,Panama,70.0,3.5,3,1,1,0,0,0,1,0,caramel and cocoa,1
523,Duffy's,U.k.,2010,Ecuador,Star of Ecuador,70.0,2.5,3,1,1,0,0,0,1,0,chalky,3
623,Duffy's,U.k.,2011,Honduras,"Indio Rojo, Xoco",72.0,3.75,3,1,1,0,0,0,1,0,dried fruit,3
661,Duffy's,U.k.,2011,Dominican republic,Dominican Republic,65.0,3.5,3,1,1,0,0,0,1,0,heavy roast,3
765,Duffy's,U.k.,2011,Venezuela,Ocumare,71.0,3.5,3,1,1,0,0,0,1,0,intense cocoa,1
697,Duffy's,U.k.,2011,Nicaragua,"Nicaliso, Xoco",71.0,3.25,3,1,1,0,0,0,1,0,intense,3
697,Duffy's,U.k.,2011,Panama,"Bocas del Toro, Tierra Oscura",72.0,3.0,3,1,1,0,0,0,1,0,licorice,2
923,Duffy's,U.k.,2012,Venezuela,Ocumare,72.0,3.75,3,1,1,0,0,0,1,0,creamy,2
1331,Duffy's,U.k.,2014,Nicaragua,"Rico Rugoso, Xoco",76.0,3.75,4,1,1,0,1,0,1,0,black pepper,3
1331,Duffy's,U.k.,2014,Nicaragua,"Chuno, Xoco",70.0,3.5,4,1,1,0,1,0,1,0,sandy,3
1662,Duffy's,U.k.,2015,Guatemala,"Rio Dulce, Xoco",70.0,4.0,4,1,1,0,1,0,1,0,intense,3
1964,Duffy's,U.k.,2017,Nigeria,Eti-Oni,70.0,2.75,4,1,1,0,1,0,1,0,candy like off flavor,1
2100,Duffy's,U.k.,2018,Guatemala,Mayan Red,80.0,3.25,4,1,1,0,1,0,1,0,intense earthy,3
2366,Duffy's,U.k.,2019,Philippines,South Cotabato,70.0,3.5,4,1,1,0,1,0,1,0,cocoa,4
1506,Dulcinea,U.S.A,2015,Dominican republic,"Dominican Republic, batch 1507",70.0,3.25,2,1,0,0,0,0,1,0,coarse,3
1630,Durci,U.S.A,2015,Ecuador,Corona Arriba,70.0,4.0,3,1,1,0,0,0,1,0,blackberry and cinnamon,1
1626,Durci,U.S.A,2015,Peru,"Maranon, Joya Rara",70.0,3.5,3,1,1,0,0,0,1,0,sandy,3
1626,Durci,U.S.A,2015,Venezuela,"Rio Caribe, Tepui Treasure",70.0,3.5,3,1,1,0,0,0,1,0,fatty,3
1630,Durci,U.S.A,2015,Dominican republic,Taino Secret,70.0,3.25,3,1,1,0,0,0,1,0,dates,3
1630,Durci,U.S.A,2015,Venezuela,"Carenero, Empyrean Sabor",70.0,3.25,3,1,1,0,0,0,1,0,cherry,3
2040,Durci,U.S.A,2018,Peru,Piura Blanco,70.0,4.0,3,1,1,0,0,0,1,0,smoth,3
1343,East Van Roasters,Canada,2014,Dominican republic,"Dominican Republic, batch DR113",70.0,3.75,3,1,1,0,0,0,1,0,spicy,2
1343,East Van Roasters,Canada,2014,Madagascar,"Madagascar, batch M132",70.0,3.5,3,1,1,0,0,0,1,0,ultra fruity,1
1343,East Van Roasters,Canada,2014,Peru,"Peru, batch P116",70.0,3.25,3,1,1,0,0,0,1,0,waxy,3
